ID;label;L_1_NL_2;pubs;avg_num_authors_pub;infomap_com1;blondel_com1;blondel_com3;num_countries_per_pub;num_coauth_names;pct_sole_auth;pct_internat;year_first_pub;hindex;nation papers 1;totalcites;avgcites
1;LAUREATE_1;1;123;2.991869919;1;8;1;1.29787234;79;0.149;0.255;1955;40;1;5285;42.97
2;LAUREATE_2;1;150;4.966666667;12;0;2;1.097744361;303;0.027;0.083;1967;90;0;34701;231.34
3;LAUREATE_3;1;233;9.064377682;2;1;2;1.856481481;892;0.013;0.549;1972;53;1;16811;72.15
4;LAUREATE_4;1;237;6.092827004;14;25;14;1.37037037;634;0.11;0.278;1974;85;0;46369;195.65
5;LAUREATE_5;1;334;3.062874251;1;8;1;1.102150538;308;0.047;0.121;1964;129;0;51478;154.13
6;LAUREATE_6;1;259;4.077220077;5;2;7;1.435643564;552;0.057;0.365;1956;77;0;12887;49.76
7;LAUREATE_7;1;36;3.111111111;12;0;2;1.115384615;59;0.256;0.097;1983;32;0;6397;177.69
8;LAUREATE_8;1;179;4.726256983;2;3;2;1.244897959;392;0.073;0.171;1965;73;0;20371;113.8
9;LAUREATE_9;1;43;2.302325581;;;;1;21;0.628;0;1953;17;0;1752;40.74
10;LAUREATE_10;1;517;5.640232108;11;4;0;1.40952381;1092;0.121;0.211;1946;68;1;17253;33.37
11;LAUREATE_11;1;120;2.925;11;5;0;1.233333333;119;0.275;0.233;1945;63;1;19223;160.19
12;LAUREATE_12;1;56;2.339285714;11;6;7;1.095238095;58;0.411;0.095;1928;31;0;6505;116.16
13;LAUREATE_13;1;411;4.671532847;6;7;0;1.424242424;544;0.08;0.328;1967;82;0;25539;62.14
14;LAUREATE_14;1;140;3.478571429;1;8;1;1.428571429;202;0.293;0.262;1949;53;0;14587;104.19
15;LAUREATE_15;1;444;3.292792793;12;10;2;1.093023256;270;0.081;0.084;1947;131;0;49718;111.98
16;LAUREATE_16;1;355;4.476056338;12;10;2;1.367149758;347;0.186;0.311;1954;62;0;14967;42.16
17;LAUREATE_17;1;190;4.557894737;3;11;3;1.031746032;233;0.089;0.032;1946;60;0;14976;78.82
18;LAUREATE_18;1;126;6.317460317;17;12;4;1.254385965;413;0.056;0.219;1980;57;0;21456;170.29
19;LAUREATE_19;1;84;3.142857143;1;8;1;1;117;0.214;0;1939;53;0;25290;301.07
20;LAUREATE_20;1;745;6.060402685;12;10;2;1.5015625;1400;0.012;0.384;1954;153;0;77143;103.55
21;LAUREATE_21;1;87;3.977011494;;;;1.197368421;145;0.092;0.158;1982;53;0;23173;266.36
22;LAUREATE_22;1;268;5.52238806;10;13;1;1.547619048;281;0.066;0.366;1951;89;0;29122;108.66
23;LAUREATE_23;1;90;2.677777778;1;8;1;1.041666667;91;0.156;0.042;1963;69;0;22248;247.2
24;LAUREATE_24;1;181;3.160220994;3;11;3;1;149;0.149;0;1938;52;0;9750;53.87
25;LAUREATE_25;1;232;4.469827586;16;14;4;1.230392157;455;0.038;0.15;1973;104;0;42668;183.91
26;LAUREATE_26;1;10;3.6;;;;1.333333333;25;0.6;0.333;1978;7;1;538;53.8
27;LAUREATE_27;1;95;3.368421053;4;9;1;1.0625;117;0.213;0.063;1956;62;0;37079;390.31
28;LAUREATE_28;1;316;5.262658228;;;;1.437007874;528;0.098;0.354;1968;89;0;34028;107.68
29;LAUREATE_29;1;33;2.121212121;23;15;5;1.125;32;0.515;0.125;1949;21;1;10251;310.64
30;LAUREATE_30;1;446;4.706278027;12;0;2;1.19121447;647;0.047;0.15;1960;140;0;59238;132.82
31;LAUREATE_31;1;294;4.520408163;1;8;1;1.128712871;435;0.034;0.114;1946;117;0;44673;151.95
32;LAUREATE_32;1;104;3.125;;;;1.083333333;140;0.212;0.067;1955;45;0;7951;76.45
33;LAUREATE_33;1;121;3.223140496;9;21;9;1.393939394;141;0.207;0.333;1939;52;1;14668;121.22
34;LAUREATE_34;1;34;3.205882353;14;25;14;1.642857143;40;0.485;0.385;1941;25;0;6033;177.44
35;LAUREATE_35;1;89;2.235955056;11;6;7;1.041666667;58;0.364;0;1941;41;0;7704;86.56
36;LAUREATE_36;1;140;3.728571429;;;;1.269662921;250;0.131;0.149;1954;42;1;10865;77.61
37;LAUREATE_37;1;28;1.214285714;;;;1;5;0.786;0;1926;24;0;6146;219.5
38;LAUREATE_38;1;55;6.890909091;17;12;4;1.545454545;229;0.03;0.394;1992;34;0;12679;230.53
39;LAUREATE_39;1;266;3.357142857;23;15;5;1.190789474;263;0.138;0.155;1957;86;1;42539;159.92
40;LAUREATE_40;1;344;6.034883721;2;1;2;1.382239382;765;0.067;0.26;1962;74;1;28469;82.76
41;LAUREATE_41;1;300;4.416666667;1;8;1;1.107806691;340;0.05;0.097;1962;91;0;29473;98.24
42;LAUREATE_42;1;205;5.717073171;1;8;1;1.246376812;317;0.045;0.091;1946;49;0;8560;41.76
43;LAUREATE_43;1;124;3.85483871;1;8;1;1;185;0.041;0;1957;69;0;18455;148.83
44;LAUREATE_44;1;191;3.445026178;15;17;6;1.316129032;246;0.089;0.252;1969;97;1;46559;243.76
45;LAUREATE_45;1;272;3.709558824;5;18;7;1.485714286;462;0.092;0.374;1973;92;1;34805;127.96
46;LAUREATE_46;1;153;6.287581699;1;8;1;1.330275229;267;0.033;0.266;1971;87;1;24676;161.28
47;LAUREATE_47;1;213;3.070422535;1;8;1;1.038461538;215;0.07;0.038;1948;104;0;45550;213.85
48;LAUREATE_48;1;125;2.528;;;;1.045454545;136;0.25;0.08;1957;61;0;14291;114.33
49;LAUREATE_49;1;500;5.926;5;19;7;1.22406639;826;0.086;0.18;1965;134;0;62395;124.79
50;LAUREATE_50;1;108;2.972222222;;;;1.022727273;71;0.213;0.023;1954;58;0;21997;203.68
51;LAUREATE_51;1;245;4.13877551;15;17;6;1.42;291;0.037;0.355;1969;112;1;61777;252.15
52;LAUREATE_52;1;1304;5.465490798;10;13;1;1.388101983;1557;0.009;0.344;1954;113;0;58265;44.68
